date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:00	254/254	---M--	200	added ('OK')	text/plain	etag:W/%22fe-rqbvFUfa+odhtntKV9dXRfhNacw%22	https://www.animalmusicweb.com/robots.txt		(from )
19:41:01	473808/473808	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Dec%202020%2001:41:02%20GMT	https://www.animalmusicweb.com/	D:/Website/Testing%20for%20GitPages/www.animalmusicweb.com/index.html	(from )
19:41:01	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/Website/Testing%20for%20GitPages/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.animalmusicweb.com/)
19:41:01	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/Website/Testing%20for%20GitPages/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.animalmusicweb.com/)
19:41:02	36299/36299	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2017%20Nov%202020%2021:32:55%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	D:/Website/Testing%20for%20GitPages/polyfill.io/v3/polyfill.mind82c.js	(from https://www.animalmusicweb.com/)
19:41:02	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2001:41:04%20GMT	https://www.animalmusicweb.com/decodeURIComponent(e	D:/Website/Testing%20for%20GitPages/www.animalmusicweb.com/decodeURIComponent(e	(from https://www.animalmusicweb.com/)
19:41:02	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	D:/Website/Testing%20for%20GitPages/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://www.animalmusicweb.com/)
19:41:03	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2001:41:05%20GMT	https://www.animalmusicweb.com/https:	D:/Website/Testing%20for%20GitPages/www.animalmusicweb.com/https_	(from https://www.animalmusicweb.com/)
19:41:03	257/257	---M--	200	added ('OK')	text/xml	etag:8041d1d8c724fe7529e950cd8384e599	https://www.animalmusicweb.com/sitemap.xml	D:/Website/Testing%20for%20GitPages/www.animalmusicweb.com/sitemap.xml	(from https://www.animalmusicweb.com/)
19:41:03	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Dec%202020%2001:41:05%20GMT	https://www.animalmusicweb.com/feed.xml	D:/Website/Testing%20for%20GitPages/www.animalmusicweb.com/feed.xml	(from https://www.animalmusicweb.com/)
